version,pattern,thread,n_rows,n_cols,time_elapsed
histo_seq, random, 16, 5000,5000,2.246637
histo_seq, random, 16,50000,500,2.202318
histo_seq, random, 16,500,50000,2.246574
histo_seq, areas, 16, 1000,1000,
histo_seq, areas, 16,10000,100,
histo_seq, areas, 16,100,10000,
histo_seq, plasma, 16, 1000,1000,
histo_seq, plasma, 16,10000,100,
histo_seq, plasma, 16,100,10000,
histo_seq, gradient, 16, 1000,1000,
histo_seq, gradient, 16,10000,100,
histo_seq, gradient, 16,100,10000,
histo_seq, uni, 16, 1000,1000,
histo_seq, uni, 16,10000,100,
histo_seq, uni, 16,100,10000,
histo_seq, pat1, 16, 1000,1000,
histo_seq, pat1, 16,10000,100,
histo_seq, pat1, 16,100,10000,
histo_seq, pat2, 16, 1000,1000,
histo_seq, pat2, 16,10000,100,
histo_seq, pat2, 16,100,10000,
histo_seq, random, 16, 1000,1000,1.222681
histo_seq, random, 16,10000,100,1.602066
histo_seq, random, 16,100,10000,1.480474
histo_seq, areas, 16, 3000,3000,
histo_seq, areas, 16,30000,300,
histo_seq, areas, 16,300,30000,
histo_seq, plasma, 16, 3000,3000,
histo_seq, plasma, 16,30000,300,
histo_seq, plasma, 16,300,30000,
histo_seq, gradient, 16, 3000,3000,
histo_seq, gradient, 16,30000,300,
histo_seq, gradient, 16,300,30000,
histo_seq, uni, 16, 3000,3000,
histo_seq, uni, 16,30000,300,
histo_seq, uni, 16,300,30000,
histo_seq, pat1, 16, 3000,3000,
histo_seq, pat1, 16,30000,300,
histo_seq, pat1, 16,300,30000,
histo_seq, pat2, 16, 3000,3000,
histo_seq, pat2, 16,30000,300,
histo_seq, pat2, 16,300,30000,
histo_seq, random, 16, 3000,3000,8.050110
histo_seq, random, 16,30000,300,8.066146
histo_seq, random, 16,300,30000,8.096317
histo_seq, areas, 16, 5000,5000,
histo_seq, areas, 16,50000,500,
histo_seq, areas, 16,500,50000,
histo_seq, plasma, 16, 5000,5000,
histo_seq, plasma, 16,50000,500,
histo_seq, plasma, 16,500,50000,
histo_seq, gradient, 16, 5000,5000,
histo_seq, gradient, 16,50000,500,
histo_seq, gradient, 16,500,50000,
histo_seq, uni, 16, 5000,5000,
histo_seq, uni, 16,50000,500,
histo_seq, uni, 16,500,50000,
histo_seq, pat1, 16, 5000,5000,
histo_seq, pat1, 16,50000,500,
histo_seq, pat1, 16,500,50000,
histo_seq, pat2, 16, 5000,5000,
histo_seq, pat2, 16,50000,500,
histo_seq, pat2, 16,500,50000,
histo_seq, random, 16, 5000,5000,2.240164
histo_seq, random, 16,50000,500,2.248010
histo_seq, random, 16,500,50000,2.242665
histo_seq, areas, 16, 1000,1000,
histo_seq, areas, 16,10000,100,
histo_seq, areas, 16,100,10000,
histo_seq, plasma, 16, 1000,1000,
histo_seq, plasma, 16,10000,100,
histo_seq, plasma, 16,100,10000,
histo_seq, gradient, 16, 1000,1000,
histo_seq, gradient, 16,10000,100,
histo_seq, gradient, 16,100,10000,
histo_seq, uni, 16, 1000,1000,
histo_seq, uni, 16,10000,100,
histo_seq, uni, 16,100,10000,
histo_seq, pat1, 16, 1000,1000,
histo_seq, pat1, 16,10000,100,
histo_seq, pat1, 16,100,10000,
histo_seq, pat2, 16, 1000,1000,
histo_seq, pat2, 16,10000,100,
histo_seq, pat2, 16,100,10000,
histo_seq, random, 16, 1000,1000,1.241653
histo_seq, random, 16,10000,100,1.369068
histo_seq, random, 16,100,10000,1.483342
histo_seq, areas, 16, 3000,3000,
histo_seq, areas, 16,30000,300,
histo_seq, areas, 16,300,30000,
histo_seq, plasma, 16, 3000,3000,
histo_seq, plasma, 16,30000,300,
histo_seq, plasma, 16,300,30000,
histo_seq, gradient, 16, 3000,3000,
histo_seq, gradient, 16,30000,300,
histo_seq, gradient, 16,300,30000,
histo_seq, uni, 16, 3000,3000,
histo_seq, uni, 16,30000,300,
histo_seq, uni, 16,300,30000,
histo_seq, pat1, 16, 3000,3000,
histo_seq, pat1, 16,30000,300,
histo_seq, pat1, 16,300,30000,
histo_seq, pat2, 16, 3000,3000,
histo_seq, pat2, 16,30000,300,
histo_seq, pat2, 16,300,30000,
histo_seq, random, 16, 3000,3000,8.029502
histo_seq, random, 16,30000,300,8.026788
histo_seq, random, 16,300,30000,1.040233
histo_seq, areas, 16, 5000,5000,
histo_seq, areas, 16,50000,500,
histo_seq, areas, 16,500,50000,
histo_seq, plasma, 16, 5000,5000,
histo_seq, plasma, 16,50000,500,
histo_seq, plasma, 16,500,50000,
histo_seq, gradient, 16, 5000,5000,
histo_seq, gradient, 16,50000,500,
histo_seq, gradient, 16,500,50000,
histo_seq, uni, 16, 5000,5000,
histo_seq, uni, 16,50000,500,
histo_seq, uni, 16,500,50000,
histo_seq, pat1, 16, 5000,5000,
histo_seq, pat1, 16,50000,500,
histo_seq, pat1, 16,500,50000,
histo_seq, pat2, 16, 5000,5000,
histo_seq, pat2, 16,50000,500,
histo_seq, pat2, 16,500,50000,
histo_seq, random, 16, 5000,5000,2.897796
histo_seq, random, 16,50000,500,2.237694
histo_seq, random, 16,500,50000,2.247168
histo_seq, areas, 16, 1000,1000,
histo_seq, areas, 16,10000,100,
histo_seq, areas, 16,100,10000,
histo_seq, plasma, 16, 1000,1000,
histo_seq, plasma, 16,10000,100,
histo_seq, plasma, 16,100,10000,
histo_seq, gradient, 16, 1000,1000,
histo_seq, gradient, 16,10000,100,
histo_seq, gradient, 16,100,10000,
histo_seq, uni, 16, 1000,1000,
histo_seq, uni, 16,10000,100,
histo_seq, uni, 16,100,10000,
histo_seq, pat1, 16, 1000,1000,
histo_seq, pat1, 16,10000,100,
histo_seq, pat1, 16,100,10000,
histo_seq, pat2, 16, 1000,1000,
histo_seq, pat2, 16,10000,100,
histo_seq, pat2, 16,100,10000,
histo_seq, random, 16, 1000,1000,1.219536
histo_seq, random, 16,10000,100,1.294661
histo_seq, random, 16,100,10000,1.148226
histo_seq, areas, 16, 3000,3000,
histo_seq, areas, 16,30000,300,
histo_seq, areas, 16,300,30000,
histo_seq, plasma, 16, 3000,3000,
histo_seq, plasma, 16,30000,300,
histo_seq, plasma, 16,300,30000,
histo_seq, gradient, 16, 3000,3000,
histo_seq, gradient, 16,30000,300,
histo_seq, gradient, 16,300,30000,
histo_seq, uni, 16, 3000,3000,
histo_seq, uni, 16,30000,300,
histo_seq, uni, 16,300,30000,
histo_seq, pat1, 16, 3000,3000,
histo_seq, pat1, 16,30000,300,
histo_seq, pat1, 16,300,30000,
histo_seq, pat2, 16, 3000,3000,
histo_seq, pat2, 16,30000,300,
histo_seq, pat2, 16,300,30000,
histo_seq, random, 16, 3000,3000,8.093293
histo_seq, random, 16,30000,300,8.083168
histo_seq, random, 16,300,30000,8.065671
histo_seq, areas, 16, 5000,5000,
histo_seq, areas, 16,50000,500,
histo_seq, areas, 16,500,50000,
histo_seq, plasma, 16, 5000,5000,
histo_seq, plasma, 16,50000,500,
histo_seq, plasma, 16,500,50000,
histo_seq, gradient, 16, 5000,5000,
histo_seq, gradient, 16,50000,500,
histo_seq, gradient, 16,500,50000,
histo_seq, uni, 16, 5000,5000,
histo_seq, uni, 16,50000,500,
histo_seq, uni, 16,500,50000,
histo_seq, pat1, 16, 5000,5000,
histo_seq, pat1, 16,50000,500,
histo_seq, pat1, 16,500,50000,
histo_seq, pat2, 16, 5000,5000,
histo_seq, pat2, 16,50000,500,
histo_seq, pat2, 16,500,50000,
histo_seq, random, 16, 5000,5000,2.239316
histo_seq, random, 16,50000,500,2.244532
histo_seq, random, 16,500,50000,2.247078
histo_seq, areas, 16, 1000,1000,
histo_seq, areas, 16,10000,100,
histo_seq, areas, 16,100,10000,
histo_seq, plasma, 16, 1000,1000,
histo_seq, plasma, 16,10000,100,
histo_seq, plasma, 16,100,10000,
histo_seq, gradient, 16, 1000,1000,
histo_seq, gradient, 16,10000,100,
histo_seq, gradient, 16,100,10000,
histo_seq, uni, 16, 1000,1000,
histo_seq, uni, 16,10000,100,
histo_seq, uni, 16,100,10000,
histo_seq, pat1, 16, 1000,1000,
histo_seq, pat1, 16,10000,100,
histo_seq, pat1, 16,100,10000,
histo_seq, pat2, 16, 1000,1000,
histo_seq, pat2, 16,10000,100,
histo_seq, pat2, 16,100,10000,
histo_seq, random, 16, 1000,1000,1.156585
histo_seq, random, 16,10000,100,1.495903
histo_seq, random, 16,100,10000,1.595772
histo_seq, areas, 16, 3000,3000,
histo_seq, areas, 16,30000,300,
histo_seq, areas, 16,300,30000,
histo_seq, plasma, 16, 3000,3000,
histo_seq, plasma, 16,30000,300,
histo_seq, plasma, 16,300,30000,
